################################################################################
#
# This file has been generated by SpyGlass:
#     Report Created by: dice12
#     Report Created on: Sat Dec 21 22:49:50 2024
#     Working Directory: /mnt/home/dice12/dice/proj3/spy/pj3
#     Report Location  : ./pj3/TOP/lint/lint_functional_rtl/spyglass_reports/auto-verify/Uninitialized_Sequential_Elements.csv
#     SpyGlass Version : SpyGlass_vQ-2020.03-SP2-3
#     Policy Name      : auto-verify(SpyGlass_vQ-2020.03-SP2-03)
#     Comment          : CSV File for Uninitialised Sequential Elements
#
################################################################################
#CrossProbeTag:AV_INITSTATE01_SS_SCH
#RuleName:Av_initstate01
ID,NAME,MODULE,ASYNC RESET,ASYNC SET,CLOCK,ENABLE,DATA,OTHERS,CLOCK NAME,RESET NAME
98,TOP.ST1.P18.W_IN_SE[19:0],PE,X,-,-,-,X,no,TOP.CLK,NULL
99,TOP.ST1.P18.D_IN_SE[19:0],PE,X,-,-,-,X,no,TOP.CLK,NULL
100,TOP.ST1.P18.RESULT_REG[39:0],PE,X,-,-,-,X,no,TOP.CLK,NULL
101,TOP.ST1.count[5:0],stair_array,X,-,-,-,X,no,TOP.CLK,NULL
102,TOP.ST1.D_IN_P18[15:0],stair_array,X,-,-,X,X,no,TOP.CLK,NULL
103,TOP.ST1.D_IN_P28[15:0],stair_array,X,-,-,X,X,no,TOP.CLK,NULL
104,TOP.ST1.D_IN_P38[15:0],stair_array,X,-,-,X,X,no,TOP.CLK,NULL
105,TOP.ST1.D_IN_P48[15:0],stair_array,X,-,-,X,X,no,TOP.CLK,NULL
106,TOP.ST1.D_IN_P58[15:0],stair_array,X,-,-,X,X,no,TOP.CLK,NULL
107,TOP.ST1.D_IN_P68[15:0],stair_array,X,-,-,X,X,no,TOP.CLK,NULL
108,TOP.ST1.D_IN_P78[15:0],stair_array,X,-,-,-,X,no,TOP.CLK,NULL
109,TOP.ST1.W_IN_P18[15:0],stair_array,X,-,-,X,X,no,TOP.CLK,NULL
110,TOP.ST1.W_IN_P17[15:0],stair_array,X,-,-,X,X,no,TOP.CLK,NULL
