################################################################################
#
# This file has been generated by SpyGlass:
#     Report Created by: dice12
#     Report Created on: Sat Dec 21 23:08:19 2024
#     Working Directory: /mnt/home/dice12/dice/proj3/spy/pj3
#     Report Location  : ./spyglass-1/lint/lint_functional_rtl/spyglass_reports/auto-verify/Uninitialized_Sequential_Elements.csv
#     SpyGlass Version : SpyGlass_vQ-2020.03-SP2-3
#     Policy Name      : auto-verify(SpyGlass_vQ-2020.03-SP2-03)
#     Comment          : CSV File for Uninitialised Sequential Elements
#
################################################################################
#CrossProbeTag:AV_INITSTATE01_SS_SCH
#RuleName:Av_initstate01
ID,NAME,MODULE,ASYNC RESET,ASYNC SET,CLOCK,ENABLE,DATA,OTHERS,CLOCK NAME,RESET NAME
182,TOP.OB.\RESULT_316_reg[12] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
183,TOP.OB.\RESULT_316_reg[11] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
184,TOP.OB.\RESULT_316_reg[10] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
185,TOP.OB.\RESULT_316_reg[9] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
186,TOP.OB.\RESULT_316_reg[8] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
187,TOP.OB.\RESULT_316_reg[7] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
188,TOP.OB.\RESULT_316_reg[6] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
189,TOP.OB.\RESULT_316_reg[5] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
190,TOP.OB.\RESULT_316_reg[4] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
191,TOP.OB.\RESULT_316_reg[3] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
192,TOP.OB.\RESULT_316_reg[2] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
193,TOP.OB.\RESULT_316_reg[1] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
194,TOP.OB.\RESULT_316_reg[0] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
195,TOP.OB.\RESULT_508_reg[15] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
